क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
1047	जजि		युद्धे	जन्ज्	जञ्जितः	जञ्जितवान्	जञ्जित्वा	प्रजञ्ज्य	जञ्जितुम्	जञ्जितव्यम्	जञ्जिता		जञ्जिष्यते	जञ्जकः	जञ्जः	जञ्ज्यम्	जञ्जनीयम्	जञ्जनम्	
1048	तुजि		पालने	तुन्ज्	तुञ्जितः	तुञ्जितवान्	तुञ्जित्वा	प्रतुञ्ज्य	तुञ्जितुम्	तुञ्जितव्यम्	तुञ्जिता		तुञ्जिष्यते	तुञ्जकः	तुञ्जः	तुञ्ज्यम्	तुञ्जनीयम्	तुञ्जनम्	
1049	गजि		शब्दार्थः	गन्ज्	गञ्जितः	गञ्जितवान्	गञ्जित्वा	प्रगञ्ज्य	गञ्जितुम्	गञ्जितव्यम्	गञ्जिता		गञ्जिष्यते	गञ्जकः	गञ्जः	गञ्ज्यम्	गञ्जनीयम्	गञ्जनम्	
1050	गृजि		शब्दार्थः	गृन्ज्	गृञ्जितः	गृञ्जितवान्	गृञ्जित्वा	प्रगृञ्ज्य	गृञ्जितुम्	गृञ्जितव्यम्	गृञ्जिता		गृञ्जिष्यते	गृञ्जकः	गृञ्जः	गृञ्ज्यम्	गृञ्जनीयम्	गृञ्जनम्	
1051	मुजि		शब्दार्थः	मुन्ज्	मुञ्जितः	मुञ्जितवान्	मुञ्जित्वा	प्रमुञ्ज्य	मुञ्जितुम्	मुञ्जितव्यम्	मुञ्जिता		मुञ्जिष्यते	मुञ्जकः	मुञ्जः	मुञ्ज्यम्	मुञ्जनीयम्	मुञ्जनम्	
1052	क्षजि		गतिदानयोः	क्षन्ज्	क्षञ्जितः	क्षञ्जितवान्	क्षञ्जित्वा	प्रक्षञ्ज्य	क्षञ्जितुम्	क्षञ्जितव्यम्	क्षञ्जिता		क्षञ्जिष्यते	क्षञ्जकः	क्षञ्जः	क्षञ्ज्यम्	क्षञ्जनीयम्	क्षञ्जनम्	
1053	णिजि		शुद्धौ	निंज्	निञ्जितः	निञ्जितवान्	निञ्जित्वा	प्रनिञ्ज्य	निञ्जितुम्	निञ्जितव्यम्	निञ्जिता		निञ्जिष्यते	निञ्जकः	निञ्जः	निञ्ज्यम्	निञ्जनीयम्	निञ्जनम्	
1054	शिजि		अव्यक्ते शब्दे	शिंज्	शिञ्जितः	शिञ्जितवान्	शिञ्जित्वा	प्रशिञ्ज्य	शिञ्जितुम्	शिञ्जितव्यम्	शिञ्जिता		शिञ्जिष्यते	शिञ्जकः	शिञ्जः	शिञ्ज्यम्	शिञ्जनीयम्	शिञ्जनम्	
1055	पिजि		वर्णे, सम्पर्च इत्येके	पिंज्	पिञ्जितः	पिञ्जितवान्	पिञ्जित्वा	प्रपिञ्ज्य	पिञ्जितुम्	पिञ्जितव्यम्	पिञ्जिता		पिञ्जिष्यते	पिञ्जकः	पिञ्जः	पिञ्ज्यम्	पिञ्जनीयम्	पिञ्जनम्	
1056	उब्ज		आर्जवे	उब्ज्	उब्जितः	उब्जितवान्	उब्जित्वा	प्रोब्ज्य	उब्जितुम्	उब्जितव्यम्	उब्जिता	उब्जिष्यति		उब्जकः	उब्जः	उब्ज्यम्	उब्जनीयम्	उब्जनम्	
1057	लाज		भर्जने	लाज्	लाजितः	लाजितवान्	लाजित्वा	प्रलाज्य	लाजितुम्	लाजितव्यम्	लाजिता	लाजिष्यति		लाजकः	लाजः	लाज्यम्	लाजनीयम्	लाजनम्	
1058	ईज		गतिकुत्सनयोः	ईज्	ईजितः	ईजितवान्	ईजित्वा	प्रेज्य	ईजितुम्	ईजितव्यम्	ईजिता	ईजिष्यति		ईजकः	ईजः	ईज्यम्	ईजनीयम्	ईजनम्	
1059	क्षीज		अव्यक्ते शब्दे	क्षीज्	क्षीजितः	क्षीजितवान्	क्षीजित्वा	प्रक्षीज्य	क्षीजितुम्	क्षीजितव्यम्	क्षीजिता	क्षीजिष्यति		क्षीजकः	क्षीजः	क्षीज्यम्	क्षीजनीयम्	क्षीजनम्	
1060	कूज		अव्यक्ते शब्दे	कूज्	कूजितः	कूजितवान्	कूजित्वा	प्रकूज्य	कूजितुम्	कूजितव्यम्	कूजिता	कूजिष्यति		कूजकः	कूजः	कूज्यम्	कूजनीयम्	कूजनम्	
1061	एजृ		दीप्तौ	एज्	एजितः	एजितवान्	एजित्वा	प्रेज्य	एजितुम्	एजितव्यम्	एजिता	एजिष्यति		एजकः	एजः	एज्यम्	एजनीयम्	एजनम्	
1062	एजृ		कम्पने	एज्	एजितः	एजितवान्	एजित्वा	प्रेज्य	एजितुम्	एजितव्यम्	एजिता	एजिष्यति		एजकः	एजः	एज्यम्	एजनीयम्	एजनम्	
1063	भ्रेजृ		पालने	भ्रेज्	भ्रेजितः	भ्रेजितवान्	भ्रेजित्वा	प्रेज्य	भ्रेजितुम्	भ्रेजितव्यम्	भ्रेजिता	भ्रेजिष्यति		भ्रेजकः	भ्रेजः	भ्रेज्यम्	भ्रेजनीयम्	भ्रेजनम्	
1064	तेज		पालने	तेज्	तेजितः	तेजितवान्	तेजित्वा	प्रतेज्य	तेजितुम्	तेजितव्यम्	तेजिता	तेजिष्यति		तेजकः	तेजः	तेज्यम्	तेजनीयम्	तेजनम्	
1065	अर्ज		अर्जने	अर्ज्	अर्जितः	अर्जितवान्	अर्जित्वा	प्रार्ज्य	अर्जितुम्	अर्जितव्यम्	अर्जिता	अर्जिष्यति		अर्जकः	अर्जः	अर्ज्यम्	अर्जनीयम्	अर्जनम्	
1066	षर्ज		अर्जने	सर्ज्	सर्जितः	सर्जितवान्	सर्जित्वा	प्रसर्ज्य	सर्जितुम्	सर्जितव्यम्	सर्जिता	सर्जिष्यति		सर्जकः	सर्जः	सर्ज्यम्	सर्जनीयम्	सर्जनम्	
1067	गर्ज		शब्दे	गर्ज्	गर्जितः	गर्जितवान्	गर्जित्वा	प्रगर्ज्य	गर्जितुम्	गर्जितव्यम्	गर्जिता	गर्जिष्यति		गर्जकः	गर्जः	गर्ज्यम्	गर्जनीयम्	गर्जनम्	
1068	तर्ज		भर्त्सने	तर्ज्	तर्जितः	तर्जितवान्	तर्जित्वा	प्रतर्ज्य	तर्जितुम्	तर्जितव्यम्	तर्जिता	तर्जिष्यति		तर्जकः	तर्जः	तर्ज्यम्	तर्जनीयम्	तर्जनम्	
1069	कर्ज		व्यथऩे	कर्ज्	कर्जितः	कर्जितवान्	कर्जित्वा	प्रकर्ज्य	कर्जितुम्	कर्जितव्यम्	कर्जिता	कर्जिष्यति		कर्जकः	कर्जः	कर्ज्यम्	कर्जनीयम्	कर्जनम्	
1070	खर्ज		पूजने च	खर्ज्	खर्जितः	खर्जितवान्	खर्जित्वा	प्रखर्ज्य	खर्जितुम्	खर्जितव्यम्	खर्जिता	खर्जिष्यति		खर्जकः	खर्जः	खर्ज्यम्	खर्जनीयम्	खर्जनम्	
1071	जर्ज्		परिभाषणहिंसातर्जनेषु	जर्ज्	जर्जितः	जर्जितवान्	जर्जित्वा	प्रजर्ज्य	जर्जितुम्	जर्जितव्यम्	जर्जिता	जर्जिष्यति		जर्जकः	जर्जः	जर्ज्यम्	जर्जनीयम्	जर्जनम्	
1072	जर्ज्		वज्रनिर्घोषे	जर्ज्	जर्जितः	जर्जितवान्	जर्जित्वा	प्रजर्ज्य	जर्जितुम्	जर्जितव्यम्	जर्जिता	जर्जिष्यति		जर्जकः	जर्जः	जर्ज्यम्	जर्जनीयम्	जर्जनम्	
1073	टुओस्फूर्जा		वज्रनिर्घोषे	स्फूर्ज्	स्फूर्जितः	स्फूर्जितवान्	स्फूर्जित्वा	प्रेस्फूर्ज्य	स्फूर्जितुम्	स्फूर्जितव्यम्	स्फूर्जिता	स्फूर्जिष्यति		स्फूर्जकः	स्फूर्जः	स्फूर्ज्यम्	स्फूर्जनीयम्	स्फूर्जनम्	
1074	षस्ज		गतौ	सज्ज्	सज्जितः	सज्जितवान्	सज्जित्वा	प्रसज्ज्य	सज्जितुम्	सज्जितव्यम्	सज्जिता		सज्जिष्यते	सज्जकः	सज्जः	सज्ज्यम्	सज्जनीयम्	सज्जनम्	
1075	ओलस्जी		व्रीडायाम्	लज्ज्	लज्जितः	लज्जितवान्	लज्जित्वा	प्रलज्ज्य	लज्जितुम्	लज्जितव्यम्	लज्जिता		लज्जिष्यते	लज्जकः	लज्जः	लज्ज्यम्	लज्जनीयम्	लज्जनम्	
1076	टुमस्जो		शुद्धौ	मज्ज्	मज्जितः	मज्जितवान्	मज्जित्वा	प्रमज्ज्य	मज्जितुम्	मज्जितव्यम्	मज्जिता		मज्जिष्यते	मज्जकः	मज्जः	मज्ज्यम्	मज्जनीयम्	मज्जनम्	
1077	झर्झ		परिभाषणहिंसातर्जनेषु	झर्झ्	झर्जितः	झर्जितवान्	झर्जित्वा	प्रझर्ज्य	झर्जितुम्	झर्जितव्यम्	झर्जिता	झर्जिष्यति		झर्जकः	झर्जः	झर्ज्यम्	झर्जनीयम्	झर्जनम्	
1078	झर्झ		परिभाषणहिंसातर्जनेषु	झर्झ्	झर्जितः	झर्जितवान्	झर्जित्वा	प्रझर्ज्य	झर्जितुम्	झर्जितव्यम्	झर्जिता	झर्जिष्यति		झर्जकः	झर्जः	झर्ज्यम्	झर्जनीयम्	झर्जनम्	
1079	उज्झ		उत्सर्गे	उज्झ्	उज्झितः	उज्झितवान्	उज्झित्वा	प्रोज्झ्य	उज्झितुम्	उज्झितव्यम्	उज्झिता	उज्झिष्यति		उज्झकः	उज्झः	उज्झ्यम्	उज्झनीयम्	उज्झनम्	
1080	रुटि		स्तेये	रुन्ट्	रुण्टितः	रुण्टितवान्	रुण्टित्वा	प्ररुण्ट्य	रुण्टितुम्	रुण्टितव्यम्	रुण्टिता	रुण्टिष्यति		रुण्टकः	रुण्टः	रुण्ट्यम्	रुण्टनीयम्	रुण्टनम्	
1081	लुटि /रुठि/ लुठि/ रुडि	 {रुठि, लुठि, रुडि, लुडि इत्येके}	स्तेये	लुट्	लुण्टितः	लुण्टितवान्	लुण्टित्वा	प्रलुण्ट्य	लुण्टितुम्	लुण्टितव्यम्	लुण्टिता	लुण्टिष्यति		लुण्टकः	लुण्टः	लुण्ट्यम्	लुण्टनीयम्	लुण्टनम्	
1082	अट्ट		अतिक्रमहिंसनयोः	अट्ट्	अट्टितः	अट्टितवान्	अट्टित्वा	प्राट्य	अट्टितुम्	अट्टितव्यम्	अट्टिता		अट्टिष्यते	अट्टकः	अट्टः	अट्ट्यम्	अट्टनीयम्	अट्टनम्	
1083	घट्ट		चलने	घट्ट्	घट्टितः	घट्टितवान्	घट्टित्वा	प्रघट्य	घट्टितुम्	घट्टितव्यम्	घट्टिता		घट्टिष्यते	घट्टकः	घट्टः	घट्ट्यम्	घट्टनीयम्	घट्टनम्	
1084	म्लेट्ट		उन्मादे	म्लेट्	म्लेटितः	म्लेटितवान्	म्लेटित्वा	प्रम्लेट्य	म्लेटितुम्	म्लेटितव्यम्	म्लेटिता	म्लेटिष्यति		म्लेटकः	म्लेटः	म्लेट्यम्	म्लेटनीयम्	म्लेटनम्	
1085	रेट्ट		परिभाषणे	रेट्	रेटितः	रेटितवान्	रेटित्वा	प्ररेट्य	रेटितुम्	रेटितव्यम्	रेटिता	रेटिष्यति	रेटिष्यते	रेटकः	रेटः	रेट्यम्	रेटनीयम्	रेटनम्	
1086	वेष्ट		वेष्टने	वेष्ट्	वेष्टितः	वेष्टितवान्	वेष्टित्वा	प्रवेष्ट्य	वेष्टितुम्	वेष्टितव्यम्	वेष्टिता	वेष्टिष्यते		वेष्टकः	वेष्टः	वेष्ट्यम्	वेष्टनीयम्	वेष्टनम्	
1087	चेष्ट		चेष्टायाम्	चेष्ट्	चेष्टितः	चेष्टितवान्	चेष्टित्वा	प्रचेष्ट्य	चेष्टितुम्	चेष्टितव्यम्	चेष्टिता	चेष्टिष्यते		चेष्टकः	चेष्टः	चेष्ट्यम्	चेष्टनीयम्	चेष्टनम्	
1088	गोष्ट		सङ्घाते	गोष्ट्	गोष्टितः	गोष्टितवान्	गोष्टित्वा	प्रगोष्ट्य	गोष्टितुम्	गोष्टितव्यम्	गोष्टिता	गोष्टिष्यते		गोष्टकः	गोष्टः	गोष्ट्यम्	गोष्टनीयम्	गोष्टनम्	
1089	लोष्ट		सङ्घाते	लोष्ट्	लोष्टितः	लोष्टितवान्	लोष्टित्वा	प्रलोष्ट्य	लोष्टितुम्	लोष्टितव्यम्	लोष्टिता	लोष्टिष्यते		लोष्टकः	लोष्टः	लोष्ट्यम्	लोष्टनीयम्	लोष्टनम्	
1090	शौटृ		गर्वे	शौट्	शौटितः	शौटितवान्	शौटित्वा	प्रशौट्य	शौटितुम्	शौटितव्यम्	शौटिता	शौटिष्यति		शौटकः	शौटः	शौट्यम्	शौटनीयम्	शौटनम्	
1091	यौटृ		बन्धे	यौट्	यौटितः	यौटितवान्	यौटित्वा	प्रयौट्य	यौटितुम्	यौटितव्यम्	यौटिता	यौटिष्यति		यौटकः	यौटः	यौट्यम्	यौटनीयम्	यौटनम्	
1092	कुठि		गतिप्रतिघाते {आलस्ये तृषायां च इति काशकृत्स्नः}	कुन्ठ्	कुण्ठितः	कुण्ठितवान्	कुण्ठित्वा	प्रकुण्ठ्य	कुण्ठितुम्	कुण्ठितव्यम्	कुण्ठिता	कुण्ठिष्यति		कुण्ठकः	कुण्ठः	कुण्ठ्यम्	कुण्ठनीयम्	कुण्ठनम्	
1093	लुठि		आलस्ये	लुन्ठ्	लुण्ठितः	लुण्ठितवान्	लुण्ठित्वा	प्रलुण्ठ्य	लुण्ठितुम्	लुण्ठितव्यम्	लुण्ठिता	लुण्ठिष्यति		लुण्ठकः	लुण्ठः	लुण्ठ्यम्	लुण्ठनीयम्	लुण्ठनम्	
1094	लुठि		गतौ	लुन्ठ्	लुण्ठितः	लुण्ठितवान्	लुण्ठित्वा	प्रलुण्ठ्य	लुण्ठितुम्	लुण्ठितव्यम्	लुण्ठिता	लुण्ठिष्यति		लुण्ठकः	लुण्ठः	लुण्ठ्यम्	लुण्ठनीयम्	लुण्ठनम्	
1095	शुठि		शोषणे	शुन्ठ्	शुण्ठितः	शुण्ठितवान्	शुण्ठित्वा	प्रशुण्ठ्य	शुण्ठितुम्	शुण्ठितव्यम्	शुण्ठिता	शुण्ठिष्यति		शुण्ठकः	शुण्ठः	शुण्ठ्यम्	शुण्ठनीयम्	शुण्ठनम्	
1096	रुठि		गतौ	रुन्ठ्	रुण्ठितः	रुण्ठितवान्	रुण्ठित्वा	प्ररुण्ठ्य	रुण्ठितुम्	रुण्ठितव्यम्	रुण्ठिता	रुण्ठिष्यति		रुण्ठकः	रुण्ठः	रुण्ठ्यम्	रुण्ठनीयम्	रुण्ठनम्	
1097	अठि		गतौ	अन्ठ्	अण्ठितः	अण्ठितवान्	अण्ठित्वा	प्राण्ठ्य	अण्ठितुम्	अण्ठितव्यम्	अण्ठिता	अण्ठिष्यति		अण्ठकः	अण्ठः	अण्ठ्यम्	अण्ठनीयम्	अण्ठनम्	
1098	वठि		एकचर्यायाम्	वन्ठ्	वण्ठितः	वण्ठितवान्	वण्ठित्वा	प्रवण्ठ्य	वण्ठितुम्	वण्ठितव्यम्	वण्ठिता	वण्ठिष्यति		वण्ठकः	वण्ठः	वण्ठ्यम्	वण्ठनीयम्	वण्ठनम्	
1099	मठि		शोके	मन्ठ्	मण्ठितः	मण्ठितवान्	मण्ठित्वा	प्रमण्ठ्य	मण्ठितुम्	मण्ठितव्यम्	मण्ठिता	मण्ठिष्यति		मण्ठकः	मण्ठः	मण्ठ्यम्	मण्ठनीयम्	मण्ठनम्	
1100	कठि		शोके	कन्ठ्	कण्ठितः	कण्ठितवान्	कण्ठित्वा	प्रकण्ठ्य	कण्ठितुम्	कण्ठितव्यम्	कण्ठिता	कण्ठिष्यति		कण्ठकः	कण्ठः	कण्ठ्यम्	कण्ठनीयम्	कण्ठनम्	
1101	मुठि		पालने	मुन्ठ्	मुण्ठितः	मुण्ठितवान्	मुण्ठित्वा	प्रमुण्ठ्य	मुण्ठितुम्	मुण्ठितव्यम्	मुण्ठिता	मुण्ठिष्यति		मुण्ठकः	मुण्ठः	मुण्ठ्यम्	मुण्ठनीयम्	मुण्ठनम्	
1102	एठ		विबाधायाम्	एठ्	एठितः	एठितवान्	एठित्वा	प्रेठ्य	एठितुम्	एठितव्यम्	एठिता	एठिष्यति		एठकः	एठः	एठ्यम्	एठनीयम्	एठनम्	
1103	हेठ		विबाधायाम्	हेठ्	हेठितः	हेठितवान्	हेठित्वा	प्रहेठ्य	हेठितुम्	हेठितव्यम्	हेठिता		हेठिष्यते	हेठकः	हेठः	हेठ्यम्	हेठनीयम्	हेठनम्	
1104	हेठ		भूतप्रादुर्भावे	हेठ्	हेठितः	हेठितवान्	हेठित्वा	प्रहेठ्य	हेठितुम्	हेठितव्यम्	हेठिता	हेठिष्यति		हेठकः	हेठः	हेठ्यम्	हेठनीयम्	हेठनम्	
1105	गडि		वदनैकदेशे	गन्ड्	गण्डितः	गण्डितवान्	गण्डित्वा	प्रगण्ड्य	गण्डितुम्	गण्डितव्यम्	गण्डिता	गण्डिष्यति		गण्डकः	गण्डः	गण्ड्यम्	गण्डनीयम्	गण्डनम्	
1106	गडि		वदनैकदेशे	गन्ड्	गण्डितः	गण्डितवान्	गण्डित्वा	प्रगण्ड्य	गण्डितुम्	गण्डितव्यम्	गण्डिता	गण्डिष्यति		गण्डकः	गण्डः	गण्ड्यम्	गण्डनीयम्	गण्डनम्	
1107	मडि		भूषायाम्	मन्ड्	मण्डितः	मण्डितवान्	मण्डित्वा	प्रमण्ड्य	मण्डितुम्	मण्डितव्यम्	मण्डिता	मण्डिष्यति		मण्डकः	मण्डः	मण्ड्यम्	मण्डनीयम्	मण्डनम्	
1108	वडि		विभाजने	वन्ड्	वण्डितः	वण्डितवान्	वण्डित्वा	प्रवण्ड्य	वण्डितुम्	वण्डितव्यम्	वण्डिता	वण्डिष्यति		वण्डकः	वण्डः	वण्ड्यम्	वण्डनीयम्	वण्डनम्	
1109	मडि च		विभाजने	मन्ड्	मण्डितः	मण्डितवान्	मण्डित्वा	प्रमण्ड्य	मण्डितुम्	मण्डितव्यम्	मण्डिता	मण्डिष्यति		मण्डकः	मण्डः	मण्ड्यम्	मण्डनीयम्	मण्डनम्	
1110	भडि		परिभाषणे	भन्ड्	भण्डितः	भण्डितवान्	भण्डित्वा	प्रभण्ड्य	भण्डितुम्	भण्डितव्यम्	भण्डिता	भण्डिष्यति		भण्डकः	भण्डः	भण्ड्यम्	भण्डनीयम्	भण्डनम्	
1111	चडि		कोपे	चन्ड्	चण्डितः	चण्डितवान्	चण्डित्वा	प्रचण्ड्य	चण्डितुम्	चण्डितव्यम्	चण्डिता	चण्डिष्यति		चण्डकः	चण्डः	चण्ड्यम्	चण्डनीयम्	चण्डनम्	
1112	शडि		रुजायां सङ्घाते च	शन्ड्	शुण्डितः	शुण्डितवान्	शुण्डित्वा	प्रशुण्ड्य	शुण्डितुम्	शुण्डितव्यम्	शुण्डिता	शुण्डिष्यति		शुण्डकः	शुण्डः	शुण्ड्यम्	शुण्डनीयम्	शुण्डनम्	
1113	तडि		ताडने	तन्ड्	तण्डितः	तण्डितवान्	तण्डित्वा	प्रतण्ड्य	तण्डितुम्	तण्डितव्यम्	तण्डिता	तण्डिष्यति		तण्डकः	तण्डः	तण्ड्यम्	तण्डनीयम्	तण्डनम्	
1114	पडि		गतौ	पन्ड्	पण्डितः	पण्डितवान्	पण्डित्वा	प्रपण्ड्य	पण्डितुम्	पण्डितव्यम्	पण्डिता	पण्डिष्यति		पण्डकः	पण्डः	पण्ड्यम्	पण्डनीयम्	पण्डनम्	
1115	कडि		मदे	कन्ड्	कण्डितः	कण्डितवान्	कण्डित्वा	प्रकण्ड्य	कण्डितुम्	कण्डितव्यम्	कण्डिता	कण्डिष्यति		कण्डकः	कण्डः	कण्ड्यम्	कण्डनीयम्	कण्डनम्	
1116	खडि		मन्थे	खन्ड्	खण्डितः	खण्डितवान्	खण्डित्वा	प्रखण्ड्य	खण्डितुम्	खण्डितव्यम्	खण्डिता	खण्डिष्यति		खण्डकः	खण्डः	खण्ड्यम्	खण्डनीयम्	खण्डनम्	
1117	हिडि		गत्यनादरयोः	हिन्ड्	हिण्डितः	हिण्डितवान्	हिण्डित्वा	प्रहिण्ड्य	हिण्डितुम्	हिण्डितव्यम्	हिण्डिता	हिण्डिष्यति		हिण्डकः	हिण्डः	हिण्ड्यम्	हिण्डनीयम्	हिण्डनम्	
1118	पिडि		सङ्घाते	पिन्ड्	पिण्डितः	पिण्डितवान्	पिण्डित्वा	प्रपिण्ड्य	पिण्डितुम्	पिण्डितव्यम्	पिण्डिता	पिण्डिष्यति		पिण्डकः	पिण्डः	पिण्ड्यम्	पिण्डनीयम्	पिण्डनम्	
1119	कुडि		वैकल्ये	कुन्ड्	कुण्डितः	कुण्डितवान्	कुण्डित्वा	प्रकुण्ड्य	कुण्डितुम्	कुण्डितव्यम्	कुण्डिता	कुण्डिष्यति		कुण्डकः	कुण्डः	कुण्ड्यम्	कुण्डनीयम्	कुण्डनम्	
1120	चुडि		अल्पीभावे	चुन्ड्	चुण्डितः	चुण्डितवान्	चुण्डित्वा	प्रचुण्ड्य	चुण्डितुम्	चुण्डितव्यम्	चुण्डिता	चुण्डिष्यति		चुण्डकः	चुण्डः	चुण्ड्यम्	चुण्डनीयम्	चुण्डनम्	
1121	हुडि		सङ्घाते	हुन्ड्	हुण्डितः	हुण्डितवान्	हुण्डित्वा	प्रहुण्ड्य	हुण्डितुम्	हुण्डितव्यम्	हुण्डिता	हुण्डिष्यति		हुण्डकः	हुण्डः	हुण्ड्यम्	हुण्डनीयम्	हुण्डनम्	
1122	हुडि		वरणे (हरणे इत्येके)	हुन्ड्	हुण्डितः	हुण्डितवान्	हुण्डित्वा	प्रहुण्ड्य	हुण्डितुम्	हुण्डितव्यम्	हुण्डिता	हुण्डिष्यति		हुण्डकः	हुण्डः	हुण्ड्यम्	हुण्डनीयम्	हुण्डनम्	
1123	कुडि		दाहे	कुन्ड्	कुण्डितः	कुण्डितवान्	कुण्डित्वा	प्रकुण्ड्य	कुण्डितुम्	कुण्डितव्यम्	कुण्डिता	कुण्डिष्यति		कुण्डकः	कुण्डः	कुण्ड्यम्	कुण्डनीयम्	कुण्डनम्	
1124	मुडि		मार्जने	मुन्ड्	मुण्डितः	मुण्डितवान्	मुण्डित्वा	प्रमुण्ड्य	मुण्डितुम्	मुण्डितव्यम्	मुण्डिता	मुण्डिष्यति		मुण्डकः	मुण्डः	मुण्ड्यम्	मुण्डनीयम्	मुण्डनम्	
1125	तुडि		तोडने	तुन्ड्	तुण्डितः	तुण्डितवान्	तुण्डित्वा	प्रतुण्ड्य	तुण्डितुम्	तुण्डितव्यम्	तुण्डिता	तुण्डिष्यति		तुण्डकः	तुण्डः	तुण्ड्यम्	तुण्डनीयम्	तुण्डनम्	
1126	मुडि		खण्डने	मुन्ड्	मुण्डितः	मुण्डितवान्	मुण्डित्वा	प्रमुण्ड्य	मुण्डितुम्	मुण्डितव्यम्	मुण्डिता	मुण्डिष्यति		मुण्डकः	मुण्डः	मुण्ड्यम्	मुण्डनीयम्	मुण्डनम्	
1127	बाडृ		आप्लाव्ये	बाड्	बाडितः	बाडितवान्	बाडित्वा	बाड्य	बाडितुम्	बाडितव्यम्	बाडिता	बाडिष्यति		बाडकः	बाडः	बाड्यम्	बाडनीयम्	बाडनम्	
1128	द्राडृ		विशरणे	द्राड्	द्राडितः	द्राडितवान्	द्राडित्वा	द्राड्य	द्राडितुम्	द्राडितव्यम्	द्राडिता	द्राडिष्यति		द्राडकः	द्राडः	द्राड्यम्	द्राडनीयम्	द्राडनम्	
1129	ध्राडृ		विशरणे	ध्राड्	ध्राडितः	ध्राडितवान्	ध्राडित्वा	ध्राड्य	ध्राडितुम्	ध्राडितव्यम्	ध्राडिता	ध्राडिष्यति		ध्राडकः	ध्राडः	ध्राड्यम्	ध्राडनीयम्	ध्राडनम्	
1130	शाडृ		श्लाघायाम्	शाड्	शाडितः	शाडितवान्	शाडित्वा	शाड्य	शाडितुम्	शाडितव्यम्	शाडिता	शाडिष्यति		शाडकः	शाडः	शाड्यम्	शाडनीयम्	शाडनम्	
1131	क्रीडृ		विहारे	क्रीड्	क्रीडितः	क्रीडितवान्	क्रीडित्वा	क्रीड्य	क्रीडितुम्	क्रीडितव्यम्	क्रीडिता	क्रीडिष्यति		क्रीडकः	क्रीडः	क्रीड्यम्	क्रीडनीयम्	क्रीडनम्	
1132	ईड्		स्तुतौ	ईड्	ईडितः	ईडितवान्	ईडित्वा	ईड्य	ईडितुम्	ईडितव्यम्	ईडिता	ईडिष्यति		ईडकः	ईडः	ईड्यम्	ईडनीयम्	ईडनम्	
1133	व्रीड		चोदने, लज्जायाञ्च	व्रीड्	व्रीडितः	व्रीडितवान्	व्रीडित्वा	व्रीड्य	व्रीडितुम्	व्रीडितव्यम्	व्रीडिता	व्रीडिष्यति		व्रीडकः	व्रीडः	व्रीड्यम्	व्रीडनीयम्	व्रीडनम्	
1134	हूडृ		उन्मादे	हूड्	हूडितः	हूडितवान्	हूडित्वा	हूड्य	हूडितुम्	हूडितव्यम्	हूडिता	हूडिष्यति		हूडकः	हूडः	हूड्यम्	हूडनीयम्	हूडनम्	
1135	म्रेडृ		उन्मादे	म्रेड्	म्रेडितः	म्रेडितवान्	म्रेडित्वा	म्रेड्य	म्रेडितुम्	म्रेडितव्यम्	म्रेडिता	म्रेडिष्यति		म्रेडकः	म्रेडः	म्रेड्यम्	म्रेडनीयम्	म्रेडनम्	
1136	हेडृ		अनादरे	हेड्	हेडितः	हेडितवान्	हेडित्वा	हेड्य	हेडितुम्	हेडितव्यम्	हेडिता	हेडिष्यति		हेडकः	हेडः	हेड्यम्	हेडनीयम्	हेडनम्	
1137	हेड		वेष्टने	हेड्	हेडितः	हेडितवान्	हेडित्वा	हेड्य	हेडितुम्	हेडितव्यम्	हेडिता	हेडिष्यति		हेडकः	हेडः	हेड्यम्	हेडनीयम्	हेडनम्	
1138	होडृ		गतौ	होड्	होडितः	होडितवान्	होडित्वा	होड्य	होडितुम्	होडितव्यम्	होडिता	होडिष्यति		होडकः	होडः	होड्यम्	होडनीयम्	होडनम्	
1139	रोडृ		उन्मादे	रोड्	रोडितः	रोडितवान्	रोडित्वा	रोड्य	रोडितुम्	रोडितव्यम्	रोडिता	रोडिष्यति		रोडकः	रोडः	रोड्यम्	रोडनीयम्	रोडनम्	
1140	लोडृ		उन्मादे	लोड्	लोडितः	लोडितवान्	लोडित्वा	लोड्य	लोडितुम्	लोडितव्यम्	लोडिता	लोडिष्यति		लोडकः	लोडः	लोड्यम्	लोडनीयम्	लोडनम्	
1141	होडृ		अनादरे	होड्	होडितः	होडितवान्	होडित्वा	होड्य	होडितुम्	होडितव्यम्	होडिता	होडिष्यति		होडकः	होडः	होड्यम्	होडनीयम्	होडनम्	
1142	रौडृ		अनादरे	रौड्	रौडितः	रौडितवान्	रौडित्वा	रौड्य	रौडितुम्	रौडितव्यम्	रौडिता	रौडिष्यति		रौडकः	रौडः	रौड्यम्	रौडनीयम्	रौडनम्	
1143	चुड्ड		भावकरणे	चुड्ड्	चुड्डितः	चुड्डितवान्	चुड्डित्वा	प्रचुड्ड्य	चुड्डितुम्	चुड्डितव्यम्	चुड्डिता	चुड्डिष्यति		चुड्डकः	चुड्डः	चुड्ड्यम्	चुड्डनीयम्	चुड्डनम्	
