क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
55	ष्णै		वेष्टने	स्नै	स्नातः	स्नातवान्	स्नात्वा	प्रस्नाय	स्नातुम्	स्नातव्यम्	स्नाता	स्नास्यति		स्नायकः	स्नायः	स्नेयम्	स्नानीयम्	स्नानम्	
56	कै		शब्दे	कै	कातः	कातवान्	कात्वा	प्रकाय	कातुम्	कातव्यम्	काता	कास्यति		कायकः	कायः	केयम्	कानीयम्	कानम्	
57	दैप्		शोधने	दै	दातः	दातवान्	दात्वा	प्रदाय	दातुम्	दातव्यम्	दाता	दास्यति		दायकः	दायः	देयम्	दानीयम्	दानम्	
58	दाप्		लवने	दा	दातः	दातवान्	दात्वा	प्रदाय	दातुम्	दातव्यम्	दाता	दास्यति		दायकः	दायः	देयम्	दानीयम्	दानम्	
59	या		प्रापणे	या	यातः	यातवान्	यात्वा	प्रयाय	यातुम्	यातव्यम्	याता	यास्यति		यायकः	यायः	येयम्	यानीयम्	यानम्	
60	भा		दीप्तौ	भा	भातः	भातवान्	भात्वा	प्रभाय	भातुम्	भातव्यम्	भाता	भास्यति		भायकः	भायः	भेयम्	भानीयम्	भानम्	
61	ष्णा		शौचे	स्ना	स्नातः	स्नातवान्	स्नात्वा	प्रस्नाय	स्नातुम्	स्नातव्यम्	स्नाता	स्नास्यति		स्नायकः	स्नायः	स्नेयम्	स्नानीयम्	स्नानम्	
62	ख्या		प्रखातने	ख्या	ख्यातः	ख्यातवान्	ख्यात्वा	प्रख्याय	ख्यातुम्	ख्यातव्यम्	ख्याता	ख्यास्यति		ख्यायकः	ख्यायः	ख्येयम्	ख्यानीयम्	ख्यानम्	
63	ज्ञा		अवबोधने	ज्ञा	ज्ञातः	ज्ञातवान्	ज्ञात्वा	प्रज्ञाय	ज्ञातुम्	ज्ञातव्यम्	ज्ञाता	ज्ञास्यति	ज्ञास्यते	ज्ञायकः	ज्ञायः	ज्ञेयम्	ज्ञानीयम्	ज्ञानम्	
64	प्सा		भक्षणे	प्सा	प्सातः	प्सातवान्	प्सात्वा	प्रप्साय	प्सातुम्	प्सातव्यम्	प्साता	प्सास्यति		प्सायकः	प्सायः	प्सेयम्	प्सानीयम्	प्सानम्	
65	ला		आदाने	ला	लातः	लातवान्	लात्वा	प्रलाय	लातुम्	लातव्यम्	लाता	लास्यति		लायकः	लायः	लेयम्	लानीयम्	लानम्	
66	रा		दाने	रा	रातः	रातवान्	रात्वा	प्रराय	रातुम्	रातव्यम्	राता	रास्यति		रायकः	रायः	रेयम्	राणीयम्	राणम्	
67	श्रिञ्		सेवायां	श्रि	श्रितः	श्रितवान्	श्रित्वा	प्रश्रित्य	श्रयितुम्	श्रयितव्यम्	श्रयिता	श्रयिष्यति		श्रायकः	श्रयः	श्रेयम्	श्रयणीयम्	श्रयणम्	
68	टुओश्वि		गतिवृद्ध्योः	श्वि	शूनः	शूनवान्	श्वयित्वा	उच्छूय	श्वयितुम्	श्वयितव्यम्	श्वयिता	श्वयिष्यति		श्वायकः	श्वयः	श्वेयम्	श्वयनीयम्	श्वयनम्	
69	क्षि		क्षये	क्षि	क्षितः/क्षीणः	क्षितवान्/क्षीणवान्	क्षित्वा	प्रक्षीय	क्षेतुम्	क्षेतव्यम्	क्षेता	क्षेष्यति		क्षायकः	क्षयः	क्षेयम्	क्षयणीयम्	क्षयणम्	
70	इङ्		अध्ययने	इ	अधीतः	अधीतवान्		अधीत्य	अध्येतुम्	अध्येतव्यम्	अध्येता		अध्येष्यते	अध्यायकः	अध्यायः	अध्येयम्	अध्ययनीयम्	अध्ययनम्	
71	इक्		स्मरणे	इ	अधीतः	अधीतवान्		अधीत्य	अध्येतुम्	अध्येतव्यम्	अध्येता	अध्येष्यति		अध्यायकः	अध्यायः	अध्येयम्	अध्ययनीयम्	अध्ययनम्	
72	इण्		गतौ	इ	इतः	इतवान्	इत्वा	प्रेत्य	एतुम्	एतव्यम्	एता	एष्यति		आयकः	अयः	इत्यम्	अयनीयम्	अयनम्	
73	जि		जये	जि	जितः	जितवान्	जित्वा	विजित्य	जेतुम्	जेतव्यम्	जेता	जेष्यति		जायकः	जयः	जेयम्	जयनीयम्	जयनम्	
74	जि		जये	जि	जितः	जितवान्	जित्वा	विजित्य	जेतुम्	जेतव्यम्	जेता	जेष्यति		जायकः	जयः	जेयम्	जयनीयम्	जयनम्	
75	ज्रि		अभिभवे	ज्रि	ज्रितः	ज्रितवान्	ज्रित्वा	प्रज्रित्य	ज्रेतुम्	ज्रेतव्यम्	ज्रेता	ज्रेष्यति		ज्रायकः	ज्रयः	ज्रेयम्	ज्रयणीयम्	ज्रयणम्	
76	ष्मिङ्		ईषद्धसने	स्मि	स्मितः	स्मितवान्	स्मित्वा	प्रस्मित्य	स्मेतुम्	स्मितव्यम्	स्मेता		स्मेष्यते	स्मायकः	स्मयः	स्मेयम्	स्मयनीयम्	स्मयनम्	
77	कि (छ.)		ज्ञाने	कि	कितः	कितवान्	कित्वा	प्रकित्य	केतुम्	केतव्यम्	केता	केष्यति		कायकः	कायः	केयम्	कयनीयम्	कयनम्	
78	षिञ्		बन्धने	सि	सितः	सितवान्	सित्वा	प्रसित्य	सेतुम्	सेतव्यम्	सेता	सेष्यति	सेष्यते	सायकः	सयः	सेयम्	सयनीयम्	सयनम्	
79	शिञ्		निशाने	शि	शितः	शितवान्	शित्वा	प्रशित्य	शेतुम्	शेतव्यम्	शेता	शेष्यति	शेष्यते	शायकः	शयः	शेयम्	शयनीयम्	शयनम्	
80	डुमिञ्		प्रक्षेपणे	मि	मितः	मितवान्	मित्वा	निमाय	मातुम्	मातव्यम्	माता	मास्यति	मास्यते	मायकः	मयः	मेयम्	मयनीयम्	मयनम्	
