नाम	अक्षराणि	विषमे-स्वराः	विषमयोर् मात्राः	समे-सङ्ख्या	समयोर् मात्राः	प्रसिद्धिः	पादयोर् आदिसाम्यम्	पादयोः अन्त्यसाम्यम्	जातिः	जातिः २	लक्षणम्	लक्षणमूलम्	उदाहरणम्	मुख्यांशः
पद्मावती	50	12	दा दा द दा द द द दा द द दा दा	13	द द दा द दा द द द दा द द दा दा			दा द दा द द द दा द द दा दा						
पुष्पिताग्रा	50	12	द द द द द द दा द दा द दा दा	13	द द द द दा द द दा द दा द दा दा	५	द द द द	द द दा द दा द दा दा		औपछान्दसिकम्।		वृत्तरत्नाकरः	तदुपगतसमाससन्धियोगम् सममधुरोपनतार्थवाक्यबद्धम् । रघुवरचरितं मुनिप्रणीतम् दशशिरसश्च वधं निशामयध्वम् ॥ इति रामायणे	
अञ्चिताग्रा	50	13	द द द द दा द द दा द दा द दा दा	12	द द द द द द दा द दा द दा दा		द द द द	द द दा द दा द दा दा		औपछान्दसिकम्।				
अमरावती	50	13	द दा द दा द दा द दा द दा द दा दा	12	दा द दा द दा द दा द दा द दा द									
चमूरुः	50	13	द द दा द द द द दा द दा द दा दा	12	दा द दा द द द द दा द दा द दा			दा						
पद्मावती	50	13	द द दा द दा द द द दा द द दा दा	12	दा दा द दा द द द दा द द दा दा			दा द दा द द द दा द द दा दा						
प्रमाथिनी	50	13	द द द द दा द द दा द दा द दा दा	12	द द दा दा द द दा द दा द दा दा		द द	दा द द दा द दा द दा दा						
अतिसुरहिता	52	13	दा दा द द द द द द द द द द दा	13	द द द द द द द द दा द द दा दा			दा						
अनङ्गपदम्	52	13	दा द द दा द द दा द द दा द द दा	13	द द दा द द दा द द दा द द दा दा			दा						
अनिरया	52	13	द द द दा द द द द दा द दा द दा	13	द द द दा द द द दा द द दा द दा		द द द दा द द द	द दा द दा						
अर्धरुतम्	52	13	दा द द द द द द दा दा द द द द	13	दा द द द द द द दा द द दा द द		दा द द द द द द दा	द द						
अल्परुतम्	52	13	दा द द द द द द दा द द दा द द	13	दा द द द द द द दा दा द द द द		दा द द द द द द दा	द द						
कलना	52	13	द द दा द दा द द द दा द द दा दा	13	द द दा द दा द द द दा द दा द दा		द द दा द दा द द द दा द	दा						
कलनावती	52	13	द द दा द दा द द द दा द दा द दा	13	द द दा द दा द द द दा द द दा दा		द द दा द दा द द द दा द	दा						
धीरावर्त्तः	52	13	दा दा दा दा दा द द दा दा द द दा दा	13	दा दा दा दा द द द द दा दा दा दा दा		दा दा दा दा	दा दा						
धीरावर्त्तः	52	13	दा दा दा दा द द द द दा दा दा दा दा	13	दा दा दा दा दा द द दा दा द द दा दा		दा दा दा दा	दा दा						
निर्मधुवारि	52	13	दा दा द दा द द दा द दा द द दा द	13	द द दा द दा द द द दा द दा द दा									
भुजङ्गभृता	52	13	द द दा द द दा द द दा द द दा दा	13	दा द द दा द द दा द द दा द द दा			दा						
मधुवारि	52	13	द द दा द दा द द द दा द दा द दा	13	दा दा द दा द द दा द दा द द दा द									
रुचिमुखी	52	13	द द द द द द द द दा द द दा दा	13	द द द द द द दा द द द द दा दा		द द द द द द	द द दा दा						
विमुखी	52	13	द द द द द द दा द द द द दा दा	13	द द द द द द द द दा द द दा दा		द द द द द द	द द दा दा						
शिशुमुखी	52	13	द द द दा द द द दा द द दा द दा	13	द द द दा द द द द दा द दा द दा		द द द दा द द द	द दा द दा						
सुरहिता	52	13	द द द द द द द द दा द द दा दा	13	दा दा द द द द द द द द द द दा			दा						
शरावती	54	12	द द द द द द दा द दा द दा दा	15	द द दा दा द द द द द द दा द दा द दा		द द	दा						
आलेपनम्	54	13	द द द दा दा द दा दा द दा दा द दा	14	द द द दा द द द दा दा द दा दा द दा		द द द दा	द दा दा द दा दा द दा						
प्रतिविनीता	54	13	द द द द दा दा द दा द दा द दा दा	14	द द दा दा द द दा द दा द द द दा दा		द द	द दा दा						
मदाक्रान्ता	54	13	द द दा द द दा द दा द दा द दा दा	14	दा दा दा द द दा द दा द दा द दा दा दा			दा दा						
लास्यलीलालयः	54	13	दा दा द द दा दा दा द दा दा द दा दा	14	दा द द द द दा दा दा द दा दा द दा दा		दा	द द दा दा दा द दा दा द दा दा						
अतिप्रतिविनीता	54	14	द द दा दा द द दा द दा द द द दा दा	13	द द द द दा दा द दा द दा द दा दा		द द	द दा दा						
