नाम	अक्षराणि	पादेऽक्षराणि	मात्रा-विन्यासः	प्रसिद्धिः	स्मरण-सुलभता	यतिः	मात्राः	लक्षणम्	लक्षणमूलम्	उदाहरणम्	टिप्पणिः	जातयः	गणविन्यासः	गानम्	भाव-रसौचित्यम्
सरसमुखी	40	10	दा दा द द द द द द दा द				13		आनन्दमिश्र-जालक्षेत्रम्						
सराविका	40	10	द दा द दा द दा द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
सहजा	40	10	द द दा द द दा द दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
संहतिका	40	10	द द दा द दा द द दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सुखेला	40	10	द द दा द दा द दा द दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
सुरयानवती	40	10	द द दा द द दा दा द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सुराक्षी	40	10	द द द द दा दा द दा दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
सुषमा	40	10	दा दा द द दा दा दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
हीरलम्बि	40	10	दा द द दा द द दा द दा द				14		आनन्दमिश्र-जालक्षेत्रम्						
हीराङ्गी	40	10	दा दा दा द द द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
हेमहासः	40	10	दा द दा दा द दा दा द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
कनकमञ्जरी	44	11	द द द दा द दा दा द दा द दा	४		६?	16		आनन्दमिश्र-जालक्षेत्रम्	रविमहोदयः पश्चिमाम्बुधेस्तटविलोकनोत्साहिनं च माम्। अनयदञ्जसाsप्यन्यवासरे मम वयस्यसद्मापि हार्दिकम्॥१७॥ 					
अगरिम्	44	11	द द द द द द द द द द द				11		आनन्दमिश्र-जालक्षेत्रम्						
अन्तर्वनिता	44	11	दा दा दा द द दा दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
अपयोधा	44	11	द द दा दा द दा दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
अमन्दपादः	44	11	दा द द द द दा द दा द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
अमालीनम्	44	11	द दा दा द दा दा दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
अमोघमालिका	44	11	द दा द दा द दा द दा दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
अर्थशिखा	44	11	दा द द द द द द दा द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
आराधिनी	44	11	दा दा द दा दा दा दा दा दा दा दा				21		आनन्दमिश्र-जालक्षेत्रम्						
आशापादः	44	11	दा दा दा दा द द द द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
ईहामृगी	44	11	दा दा द दा द द दा दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
उदितदिनेशः	44	11	द द दा द द द द दा दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
उदितविजोहा	44	11	दा दा द दा दा द द द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
उद्धतिकरी	44	11	दा द द द दा दा दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
ऊनतोटकम् उपचित्रम्	44	11	द द दा द द दा द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्				स स स ल ग॥		
उपदारिका	44	11	दा द दा द दा द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
उपहितचण्डी	44	11	द द दा दा द द द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
कडारम्	44	11	द दा दा द द द द दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
कनककामिनी	44	11	द दा द दा दा द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
कन्दविनोदः	44	11	दा द द दा दा दा द द दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कलितकमलविलासः	44	11	द द द द द द दा दा दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
कामुकलेखा	44	11	दा द द दा दा दा द द दा दा द				17		आनन्दमिश्र-जालक्षेत्रम्						
कालवर्म	44	11	द द द दा द द द दा द दा द				14		आनन्दमिश्र-जालक्षेत्रम्						
कुशलकलावतिका	44	11	दा दा दा द द द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
कूलचारिणी	44	11	दा द दा द दा द दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
केलिचरम्	44	11	द द द द दा दा द द द द द				13		आनन्दमिश्र-जालक्षेत्रम्						
क्रोशितकुशला	44	11	दा द द द द दा द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
खटका	44	11	द दा द द दा द द दा द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
गम्भारि	44	11	दा द दा दा द दा दा द दा दा द				18		आनन्दमिश्र-जालक्षेत्रम्						
गल्लकम्	44	11	द द द द द द द दा दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
गह्वरम्	44	11	दा द दा दा द दा दा द दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
जवनशालिनी	44	11	द द दा द द दा द दा दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
जालपादः	44	11	दा दा द दा दा दा दा द दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
जिह्माशया	44	11	दा दा द दा द द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
दमनकम्	44	11	द द द द द द द द द द दा				12		आनन्दमिश्र-जालक्षेत्रम्						
दामघटिता	44	11	द द द द द द दा द द द दा				13		आनन्दमिश्र-जालक्षेत्रम्						
दारिका	44	11	द द दा द दा द द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
दारुदेहा	44	11	दा द दा दा द दा दा द दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
नाभसम्	44	11	द दा द द दा द द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
निरवधिगतिः	44	11	द द द द द दा दा द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
नीला	44	11	दा दा द द द द दा द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
पञ्चशाखी	44	11	द द द द द दा द दा द दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
पटुपट्टिका	44	11	द द दा द दा द द दा द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
परिमलललितम्	44	11	द द द द द द दा दा द दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
पिचुलम्	44	11	द द दा द द दा द दा द दा द				15		आनन्दमिश्र-जालक्षेत्रम्						
प्रतारिता	44	11	द द दा द द द दा द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
प्रपातावतारम्	44	11	द दा दा द दा दा दा द दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
प्रफुल्लकदली	44	11	द दा द द द दा दा दा दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
प्रसृमरकरा	44	11	द द द द द दा द दा दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
प्राकारबन्धः	44	11	दा दा द दा दा द दा दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
भारती	44	11	दा दा दा दा दा दा दा दा दा दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
भुजगहारिणी	44	11	द द द दा द दा द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
भुजङ्गी	44	11	द दा दा द दा दा द दा दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
भुजलता	44	11	द द द द द दा दा दा द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
भूरिघटकम्	44	11	दा दा दा द द द दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
मदनमाला	44	11	द द द दा द दा द द द दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
मदनया	44	11	द द द द द द दा दा द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
मात्रा	44	11	दा दा दा द द द द द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
मालविका	44	11	दा दा द द दा द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
मेघध्वनिपूरः	44	11	दा दा द द दा दा दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
मोटनकम्	44	11	दा दा द द दा द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
रथपदम्	44	11	द द द द द द द द दा दा दा				14		आनन्दमिश्र-जालक्षेत्रम्						
रोधकम्	44	11	द द द दा द द दा द द दा दा				15		आनन्दमिश्र-जालक्षेत्रम्						
लक्षणलीला	44	11	दा द द दा दा द दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
ललितागमनम्	44	11	द द दा द द दा द दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
ललितालबालम्	44	11	द द दा द दा द द दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वर्णबलाका	44	11	द द दा द द दा दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
वल्लवीविलासः	44	11	दा द दा द दा दा द दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
वारयात्रिकम्	44	11	दा द द दा द दा दा द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वार्त्ताहारी	44	11	द द द द दा द द दा दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विकसितपद्मावली	44	11	द द द द दा दा द दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
विमला	44	11	द द दा द द दा द दा द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विलम्बितमध्या	44	11	दा दा दा द द दा द द दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
विलुलितमञ्जरी	44	11	द द द द दा द दा दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
विश्वविराट्	44	11	दा दा दा द द दा द दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
विष्टम्भः	44	11	द द दा द द दा द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विहारिणी	44	11	द द दा द दा द दा दा द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वीवधः	44	11	द द द द दा द द द दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
शल्कशकलम्	44	11	दा द द द दा द द दा द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
शेषापीडम्	44	11	दा दा दा दा द द द द दा द द				16		आनन्दमिश्र-जालक्षेत्रम्						
श्रमितशिखण्डी	44	11	दा द द द द दा दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
श्रितकमला	44	11	दा द द दा द द द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
श्रुतकीर्त्तिः	44	11	द द द द दा दा दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
समित्	44	11	द द द द दा दा द द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सम्मदमालिका	44	11	द द द द द दा द द दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सरोजवनिका	44	11	द दा द द द दा द दा द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
संश्रयश्रीः	44	11	दा दा द दा दा द दा दा द दा द				18		आनन्दमिश्र-जालक्षेत्रम्						
संसृतशोभासारः	44	11	द द दा दा दा द द दा दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
सामपदा	44	11	दा दा दा द द दा द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
सीधुः	44	11	द द दा दा द द दा द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
सुभद्रिका	44	11	द द द द द द दा द दा द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सुवृत्तिः	44	11	द द दा द द द द द द दा दा				14		आनन्दमिश्र-जालक्षेत्रम्						
सैनिकम्	44	11	द दा द दा द दा द दा द दा द				16		आनन्दमिश्र-जालक्षेत्रम्						
सौभगकला	44	11	दा द द द दा द द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
सौरभवर्द्धिनी	44	11	द द द द दा दा द द दा द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
हरिकान्ता	44	11	द द दा दा द द दा दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
अतिवासिता	48	12	द द दा द दा दा दा द दा द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
अनीचकम्	48	12	द दा द द द द द द द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
अन्तर्विकासवासकः	48	12	दा दा द दा द दा द दा द दा द दा				19		आनन्दमिश्र-जालक्षेत्रम्						
अरिला	48	12	द द दा दा द द दा द द दा द द				16		आनन्दमिश्र-जालक्षेत्रम्						
अर्जितफलिका	48	12	दा द द द द दा दा द दा द द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
अर्दितपादम्	48	12	दा द दा द द द द दा द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
अर्पितमदना	48	12	दा द द द द दा द द द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
अविरलरतिका	48	12	दा द द द द द द दा द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
असुधारा	48	12	द दा द दा द दा दा द दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
आधिदैवी	48	12	द दा दा दा दा दा द दा दा द दा दा				21		आनन्दमिश्र-जालक्षेत्रम्						
उदयनमुखी	48	12	द द द द द दा द द द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
उदर्करचिता	48	12	द द दा द द दा द दा द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
उपधानम्	48	12	द दा द द द द द दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
उपलेखा	48	12	द द दा दा द द द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
करमाला	48	12	द द दा दा द द दा दा द द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कलवल्लिविहङ्गः	48	12	द दा द दा दा द द दा दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
कासारक्रान्ता	48	12	दा दा दा दा दा द द दा द द दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
किंशुकास्तरणम्	48	12	दा द दा द द दा द दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
कुमारगतिः	48	12	द दा द द द द दा द द द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
कुमुदिनीविकाशः	48	12	द दा द दा दा द द द दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कुम्भोध्नी	48	12	दा दा दा दा द द द दा द द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
कुरङ्गावतारः	48	12	द दा दा द दा दा द द दा द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कृतकतिका	48	12	द द द द द द द द द द द दा				13		आनन्दमिश्र-जालक्षेत्रम्						
गलितनाला	48	12	द दा द दा द द द दा दा दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
छलितकपदम्	48	12	दा दा द द द द द दा द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
ज्वलिता	48	12	द द दा द द द द द द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
तरलनयनम्	48	12	द द द द द द द द द द द द				12		आनन्दमिश्र-जालक्षेत्रम्						
दोर्लीला	48	12	द द दा द द दा द दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
द्रुतपदम्	48	12	द द द दा द द द दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
धवलकरी	48	12	द द द द द द दा द द दा दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
धृष्टपदम्	48	12	दा द द दा द द द दा द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
नगमहिता	48	12	द द दा दा द द दा द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
निमग्नकीला	48	12	द दा द दा दा द द दा द दा दा द				18		आनन्दमिश्र-जालक्षेत्रम्						
नीरान्तिकम्	48	12	दा दा द दा द द द दा द द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
नीलगिरिका	48	12	दा द द द दा द द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
पथिकान्ता	48	12	दा द द द द द द दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
परितोषा	48	12	द द दा द द द द दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
परिपुङ्खिता	48	12	दा द दा द द दा द दा द दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
परिमितविजया	48	12	द द द द द द दा द दा द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
पिकालिका	48	12	दा द द द दा द द दा द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
प्रसृमरमरालिका	48	12	द द द द द दा द दा द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
बधिरा	48	12	द द दा दा द द दा द दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
बलोर्जिता	48	12	द द द द दा द दा द दा द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
भसलविनोदिता	48	12	द दा द दा द द द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
भासितभरणम्	48	12	दा द द द द दा दा दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
भासितसरणिः	48	12	दा द द द द द द द द द द दा				14		आनन्दमिश्र-जालक्षेत्रम्						
भुजङ्गजुषी	48	12	दा द दा द द दा दा द दा द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
मत्ताली	48	12	दा दा दा दा दा द द दा दा दा दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
मलयसुरभिः	48	12	दा दा दा द द द द द द दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
मिथुनमाली	48	12	द द द द द द दा दा दा दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
मिहिरा	48	12	द द द द द दा द दा दा द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
मुकुलितकलिकावली	48	12	दा द दा द द द द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
मोदकम्	48	12	दा द द दा द द दा द द दा द द				16		आनन्दमिश्र-जालक्षेत्रम्						
मौक्तिकदाम	48	12	द दा द द दा द द दा द द दा द				16		आनन्दमिश्र-जालक्षेत्रम्						
रसिकपरिचिता	48	12	द द दा दा दा द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
राधिका	48	12	द द दा दा द द दा द द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
रूपावलिः	48	12	दा दा द द द द द द द द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
ललना	48	12	दा द द दा दा दा द द दा द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
ललितम्	48	12	द द द द द द दा दा दा दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
लीढालर्कः	48	12	दा दा दा दा दा द द द दा द दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
लीलारत्नम्	48	12	दा दा दा दा दा दा द द दा दा दा दा				22		आनन्दमिश्र-जालक्षेत्रम्						
लुम्बाक्षी	48	12	द द दा द द दा द द द दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वनिताभरणम्	48	12	दा द द दा द द द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
वनिताविलोकः	48	12	दा दा द दा दा द द द दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
वरत्रा	48	12	दा द द द दा द द दा द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वलभी	48	12	दा द द दा द द दा द दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
वसनविशाला	48	12	द द द द द द द दा दा दा दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
वसन्तहासः	48	12	दा दा दा दा द द द द दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
वासरमणिका	48	12	दा द द द द दा द द दा दा द द				16		आनन्दमिश्र-जालक्षेत्रम्						
विकत्थनम्	48	12	द दा द द दा द द द दा द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विकलवकुलवल्ली	48	12	द द द द द द दा दा द दा दा द				16		आनन्दमिश्र-जालक्षेत्रम्						
विजयपरिचया	48	12	द द द द द द दा दा द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विद्याधारः	48	12	दा दा दा दा दा दा दा दा दा दा दा दा				24		आनन्दमिश्र-जालक्षेत्रम्						
विद्रुमदोला	48	12	द द द द दा दा दा दा द द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
विधारिता	48	12	द दा द द दा द द दा द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
विपुलपालिका	48	12	दा द दा द दा द द द द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
विप्लुतशिखा	48	12	दा द द द दा द दा द दा दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
वियोगवती	48	12	द दा द द दा द द द द द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
विरतप्रभा	48	12	दा द द दा द द द द द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विरतिमहती	48	12	दा दा द द द द द द द द दा दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विरला	48	12	द द दा द द द द दा द दा द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
विरलोद्धता	48	12	दा दा दा द द दा द दा द द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
विवरविलसितम्	48	12	दा दा द द द द द द दा दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
विशालाम्भोजाली	48	12	दा दा द द द दा द दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
विशिखलता	48	12	द द द द दा द दा द दा दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
विषमव्याली	48	12	द द द द द दा दा दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
वीणादण्डम्	48	12	द दा द द द दा द दा दा दा दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
वीरणमाला	48	12	दा द द दा दा द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
व्यायोगवती	48	12	दा दा द द दा द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
शम्पा	48	12	दा दा द द द द दा दा दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
शरमेया	48	12	द द दा दा द द द दा द द दा दा				17		आनन्दमिश्र-जालक्षेत्रम्						
सङ्गमवती	48	12	दा द द द दा द द द द द द दा				15		आनन्दमिश्र-जालक्षेत्रम्						
समयप्रहिता	48	12	द द दा द द दा द दा दा द दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
सम्मदवदना	48	12	दा द द दा द द दा द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
सरोजावाली	48	12	द दा दा द दा दा दा द दा दा द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
साक्षी	48	12	द द दा द द दा द दा द दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्						
सारङ्गः	48	12	दा दा द दा दा द दा दा द दा दा द				20		आनन्दमिश्र-जालक्षेत्रम्						
सिक्तमणिमाला	48	12	दा द द द दा दा दा दा द द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
सुखशैलम्	48	12	दा दा दा दा द द दा दा द द दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
सुतलम्	48	12	द द दा दा द दा द द दा दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
सुभद्रावतरणिः	48	12	दा दा दा दा दा द दा दा द द द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
सुवनमालिका	48	12	दा दा द द द दा द दा द द द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
सुविहिता	48	12	द दा दा द द दा द दा द द द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
स्वरवर्षिणी	48	12	द द दा द दा द द दा द दा दा दा				18		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
अखण्डमण्डनम्	52	13	द दा द दा द दा दा द दा द दा द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
अट्टासिनी	52	13	दा दा द दा द द दा द दा द द दा द				19		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
अडमरुः	52	13	द द द द द द द द द द द द द				13		आनन्दमिश्र-जालक्षेत्रम्						
अतिरंहः	52	13	द दा द द दा द द दा द दा द दा दा				19		आनन्दमिश्र-जालक्षेत्रम्						
अनिलोद्धतमुखी	52	13	द द द दा द दा दा द दा द द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
अभिरामा	52	13	द द दा दा द द दा दा द द द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
अभीरुका	52	13	द दा द दा द द द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
अभ्रभ्रमशीला	52	13	दा दा द द दा दा द द दा दा द द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
अमितनगानिका	52	13	दा द द द द दा द दा द द दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
अम्बुदावली	52	13	द द दा द दा दा द द दा द दा द दा				19		आनन्दमिश्र-जालक्षेत्रम्						
अर्धकुसुमिता	52	13	दा द द द द दा द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
अशनिः	52	13	द द द द द द दा दा द द द द द				15		आनन्दमिश्र-जालक्षेत्रम्						
अशोकपुष्पम्	52	13	द द द द द द दा द दा द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
आनता	52	13	दा दा दा द द द दा द दा दा द दा दा				21		आनन्दमिश्र-जालक्षेत्रम्						
आननमूलम्	52	13	दा द द दा दा द द दा दा द द दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
आपणिका	52	13	द दा द दा दा द द दा द द दा द दा				19		आनन्दमिश्र-जालक्षेत्रम्						
उदात्तहासः	52	13	द दा द दा दा द दा द द द दा द दा				19		आनन्दमिश्र-जालक्षेत्रम्						
उपगतशिखा	52	13	द द द द द दा द दा द द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
उपचितरतिका	52	13	दा द द द द द द दा द द दा द दा				17		आनन्दमिश्र-जालक्षेत्रम्						
उपसरसी	52	13	द द दा द द द द दा द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
उल्काभासः	52	13	दा दा दा दा दा द द द दा दा दा दा दा				23		आनन्दमिश्र-जालक्षेत्रम्						
कठिनी	52	13	द द द द द दा द दा द दा दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कनककेतकी	52	13	दा दा द द द दा द दा द द दा द दा				19		आनन्दमिश्र-जालक्षेत्रम्			लयः। दा द दा द द दा द दा।			
कनकिता	52	13	दा द द दा द द द द द द द द दा				16		आनन्दमिश्र-जालक्षेत्रम्						
कन्दः	52	13	द दा दा द दा दा द दा दा द दा दा द				21		आनन्दमिश्र-जालक्षेत्रम्						
करपल्लवोद्गता	52	13	द दा दा द दा दा द द दा द दा द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
कर्मठः	52	13	दा द द दा द द दा द द दा द द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कलनायिका	52	13	द दा द दा दा द द द द द दा द दा				18		आनन्दमिश्र-जालक्षेत्रम्						
कलाधामम्	52	13	दा द द दा द द द दा द दा दा दा दा				20		आनन्दमिश्र-जालक्षेत्रम्						
कलापतिप्रभा	52	13	दा द दा द दा द दा द दा द दा द दा				20		आनन्दमिश्र-जालक्षेत्रम्						
