 भू (सत्तायाम्, भ्वादिगण, परस्मै, लट्) \n भवति भवतः भवन्ति \n भवसि भवथः भवथ \n भवामि भवावः भवामः 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, आशीर्लिङ्) \n गाधिषीष्ट गाधिषीयास्ताम् गाधिषीरन् \n गाधिषीष्ठाः गाधिषीयास्थाम् गाधिषीध्वम् \n गाधिषीय गाधिषीवहि गाधिषीमहि 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लुङ्) \n अगाधिष्ट अगाधिषाताम् अगाधिषत \n अगाधिष्ठाः अगाधिषाथाम् अगाधिध्वम् \n अगाधिषि अगाधिष्वहि अगाधिष्महि 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, ॡङ्) \n अगाधिष्यत अगाधिष्येताम् अगाधिष्यन्त \n अगाधिष्यथाः अगाधिष्येथाम् अगाधिष्यध्वम् \n अगाधिष्ये अगाधिष्यावहि अगाधिष्यामहि 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लट्) \n बाधते बाधेते बाधन्ते \n बाधसे बाधेथे बाधध्वे \n बाधे बाधावहे बाधामहे 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लोट्) \n बाधताम् बाधेताम् बाधन्ताम् \n बाधस्व बाधेथाम् बाधध्वम् \n बाधै बाधावहै बाधामहै 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लङ्) \n अबाधत अबाधेताम् अबाधन्त \n अबाधथाः अबाधेथाम् अबाधध्वम् \n अबाधे अबाधावहि अबाधामहि 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, विधिलिङ्) \n बाधेत बाधेयाताम् बाधेरन् \n बाधेथाः बाधेयाथाम् बाधेध्वम् \n बाधेय बाधेवहि बधेमहि 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लिट्) \n बबाधे बबाधाते बबाधिरे \n बबाधिषे बबाधाथे बबाधिध्वे \n बबाधे बबाधिवहे बबाधिमहे 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लुट्) \n बाधिता बाधितारौ बाधितारः \n बाधितासे बाधितासाथे बाधिताध्वे \n बाधिताहे बाधितास्वहे बाधितास्महे 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, ऌट्) \n बाधिष्यते बाधिष्येते बाधिष्यन्ते \n बाधिष्यसे बाधिष्येथे बाधिष्यध्वे \n बाधिष्ये बाधिष्यावहे बाधिष्यामहे 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, आशीर्लिङ्) \n बाधिषीष्ट बाधिषीयास्ताम् बाधिषीरन् \n बाधिषीष्ठाः बाधिषीयास्थाम् बाधिषीध्वम् \n बाधिषीय बाधिषीवहि बाधिषीमहि 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, लुङ्) \n अबाधिष्ट अबाधिषाताम् अबाधिषत \n अबाधिष्ठाः अबाधिषाथाम् अबाधिध्वम् \n अबाधिषि अबाधिष्वहि अबाधिष्महि 
 बाधृ (विलोडन, भ्वादिगण, आत्मने, ॡङ्) \n अबाधिष्यत अबाधिष्येताम् अबाधिष्यन्त \n अबाधिष्यथाः अबाधिष्येथाम् अबाधिष्यध्वम् \n अबाधिष्ये अबाधिष्यावहि अबाधिष्यामहि 
 दध (धारणे, भ्वादिगण, आत्मने, लट्) \n दधते दधेते दधन्ते \n दधसे दधेथे दधध्वे \n दधे दधावहे दधामहे 
 दध (धारणे, भ्वादिगण, आत्मने, लोट्) \n दधताम् दधेताम् दधन्ताम् \n दधस्व दधेथाम् दधध्वम् \n दधै दधावहै दधामहै 
 दध (धारणे, भ्वादिगण, आत्मने, लङ्) \n अदधत अदधेताम् अदधन्त \n अदधथाः अदधेथाम् अदधध्वम् \n अदधे अदधावहि अदधामहि 
 दध (धारणे, भ्वादिगण, आत्मने, विधिलिङ्) \n दधेत दधेयाताम् दधेरन् \n दधेथाः दधेयाथाम् दधेध्वम् \n दधेय दधेवहि दधेमहि 
 दध (धारणे, भ्वादिगण, आत्मने, लिट्) \n दधे दधाते दधिरे \n दधिषे दधाथे दधिध्वे \n दधे दधिवहे दधिमहे 
 दध (धारणे, भ्वादिगण, आत्मने, लुट्) \n दधिता दधितारौ दधितारः \n दधितासे दधितासाथे दधिताध्वे \n दधिताहे दधितास्वहे दधितास्महे 
 दध (धारणे, भ्वादिगण, आत्मने, ऌट्) \n दधिष्यते दधिष्येते दधिष्यन्ते \n दधिष्यसे दधिष्येथे दधिष्यध्वे \n दधिष्ये दधिष्यावहे दधिष्यामहे 
 दध (धारणे, भ्वादिगण, आत्मने, आशीर्लिङ्) \n दधिषीष्ट दधिषीयास्ताम् दधिषीरन् \n दधिषीष्ठाः दधिषीयास्थाम् दधिषीध्वम् \n दधिषीय दधिषीवहि दधिषीमहि 
 दध (धारणे, भ्वादिगण, आत्मने, लुङ्) \n अदधिष्ट अदधिषाताम् अदधिषत \n अदधिष्ठाः अदधिषाथाम् अदधिध्वम् \n अदधिषि अदधिष्वहि अदधिष्महि 
 दध (धारणे, भ्वादिगण, आत्मने, ॡङ्) \n अदधिष्यत अदधिष्येताम् अदधिष्यन्त \n अदधिष्यथाः अदधिष्येथाम् अदधिष्यध्वम् \n अदधिष्ये अदधिष्यावहि अदधिष्यामहि 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लट्) \n स्कुन्दते स्कुन्देते स्कुन्दन्ते \n स्कुन्दसे स्कुन्देथे स्कुन्दध्वे \n स्कुन्दे स्कुन्दावहे स्कुन्दामहे 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लोट्) \n स्कुन्दताम् स्कुन्देताम् स्कुन्दन्ताम् \n स्कुन्दस्व स्कुन्देथाम् स्कुन्दध्वम् \n स्कुन्दै स्कुन्दावहै स्कुन्दामहै 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लङ्) \n अस्कुन्दत अस्कुन्देताम् अस्कुन्दन्त \n अस्कुन्दथाः अस्कुन्देथाम् अस्कुन्दध्वम् \n अस्कुन्दे अस्कुन्दावहि अस्कुन्दामहि 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, \n विधिलिङ्) \n स्कुन्देत स्कुन्देयाताम् स्कुन्देरन् \n स्कुन्देथाः स्कुन्देयाथाम् स्कुन्देध्वम् \n स्कुन्देय स्कुन्देवहि स्कुन्देमहि 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लिट्) \n चुस्कुन्दे चुस्कुन्दाते चुस्कुन्दिरे \n चुस्कुन्दिषे चुस्कुन्दाथे चुस्कुन्दिध्वे \n चुस्कुन्दे चुस्कुन्दिवहे चुस्कुन्दिमहे 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लुट्) \n स्कुन्दिता स्कुन्दितारौ स्कुन्दितारः \n स्कुन्दितासे स्कुन्दितासाथे स्कुन्दिताध्वे \n स्कुन्दिताहे स्कुन्दितास्वहे स्कुन्दितास्महे 
